path	disposition	compile_rule	evidence_state
webStore/src/web/assets.jsp	retain	precompile-jakarta-pages-and-tags	contract-only-runtime-observation-pending
webStore/src/web/basket.jsp	retain	precompile-jakarta-pages-and-tags	contract-only-runtime-observation-pending
webStore/src/web/commissionRuns.jsp	retain	precompile-jakarta-pages-and-tags	contract-only-runtime-observation-pending
webStore/src/web/commissionedInvoices.jsp	retain	precompile-jakarta-pages-and-tags	contract-only-runtime-observation-pending
webStore/src/web/confirm.jsp	retain	precompile-jakarta-pages-and-tags	contract-only-runtime-observation-pending
webStore/src/web/expense.jsp	retain	precompile-jakarta-pages-and-tags	contract-only-runtime-observation-pending
webStore/src/web/expenses.jsp	retain	precompile-jakarta-pages-and-tags	contract-only-runtime-observation-pending
webStore/src/web/index.jsp	retain	precompile-jakarta-pages-and-tags	contract-only-runtime-observation-pending
webStore/src/web/info.jsp	retain	precompile-jakarta-pages-and-tags	contract-only-runtime-observation-pending
webStore/src/web/invoiceLines.jsp	retain	precompile-jakarta-pages-and-tags	contract-only-runtime-observation-pending
webStore/src/web/invoices.jsp	retain	precompile-jakarta-pages-and-tags	contract-only-runtime-observation-pending
webStore/src/web/notes.jsp	retain	precompile-jakarta-pages-and-tags	contract-only-runtime-observation-pending
webStore/src/web/orderDetails.jsp	retain	precompile-jakarta-pages-and-tags	contract-only-runtime-observation-pending
webStore/src/web/orders.jsp	retain	precompile-jakarta-pages-and-tags	contract-only-runtime-observation-pending
webStore/src/web/payments.jsp	retain	precompile-jakarta-pages-and-tags	contract-only-runtime-observation-pending
webStore/src/web/registrations.jsp	retain	precompile-jakarta-pages-and-tags	contract-only-runtime-observation-pending
webStore/src/web/requestDetails.jsp	retain	precompile-jakarta-pages-and-tags	contract-only-runtime-observation-pending
webStore/src/web/requestTypes.jsp	retain	precompile-jakarta-pages-and-tags	contract-only-runtime-observation-pending
webStore/src/web/requests.jsp	retain	precompile-jakarta-pages-and-tags	contract-only-runtime-observation-pending
webStore/src/web/requestsAll.jsp	retain	precompile-jakarta-pages-and-tags	contract-only-runtime-observation-pending
webStore/src/web/requests_sr.jsp	retain	precompile-jakarta-pages-and-tags	contract-only-runtime-observation-pending
webStore/src/web/rfqDetails.jsp	retain	precompile-jakarta-pages-and-tags	contract-only-runtime-observation-pending
webStore/src/web/rfqs.jsp	retain	precompile-jakarta-pages-and-tags	contract-only-runtime-observation-pending
webStore/src/web/shipments.jsp	retain	precompile-jakarta-pages-and-tags	contract-only-runtime-observation-pending
webStore/src/web/template.jsp	retain	precompile-jakarta-pages-and-tags	contract-only-runtime-observation-pending
