route_id	context	probe_method	effect_contract	owned_tables_or_group	unowned_write_rule	fixture_reset_rule	evidence_state	rationale
/::AdRedirector::/AdRedirector	/	GET	no-new-write	none	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Reviewed corrected-error probe.
/::Broadcast::/	/	GET	content-read-plus-owned-access-metadata	web-content,web-access-log	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Content route may record reviewed access metadata.
/::CacheService::/cache/*	/	GET	content-read-plus-owned-access-metadata	web-content,web-access-log	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Content route may record reviewed access metadata.
/::Community::/communityServlet	/	GET	no-new-write	none	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Reviewed corrected-error probe.
/::MediaBroadcast::/media/*	/	GET	content-read-plus-owned-access-metadata	web-content,web-access-log	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Content route may record reviewed access metadata.
/::RequestServlet::/requestServlet	/	GET	content-read-plus-owned-access-metadata	web-content,web-access-log	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Content route may record reviewed access metadata.
/::StageBroadcast::/stage/*	/	GET	content-read-plus-owned-access-metadata	web-content,web-access-log	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Content route may record reviewed access metadata.
/::XMLBroadcast::/xml/*	/	GET	no-new-write	none	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Reviewed corrected-error probe.
/adempiere::WAccount::/WAccount	/adempiere	GET	read-only-after-session-bootstrap	AD_Session	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Route reads application state; only session bootstrap may write.
/adempiere::WAttachment::/WAttachment	/adempiere	GET	method-specific-fixture-required	AD_Session,AD_Preference,business-table-owned-by-route	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	GET probe permits no new business write; mutating methods require a named fixture delta.
/adempiere::WChat::/WChat	/adempiere	GET	method-specific-fixture-required	AD_Session,AD_Preference,business-table-owned-by-route	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	GET probe permits no new business write; mutating methods require a named fixture delta.
/adempiere::WFieldUpdate::/WFieldUpdate	/adempiere	GET	read-only-after-session-bootstrap	AD_Session	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Route reads application state; only session bootstrap may write.
/adempiere::WFilter::/*	/adempiere	GET	read-only-after-session-bootstrap	AD_Session	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Route reads application state; only session bootstrap may write.
/adempiere::WFindAdv::/WFindAdv	/adempiere	GET	read-only-after-session-bootstrap	AD_Session	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Route reads application state; only session bootstrap may write.
/adempiere::WHelp::/WHelp	/adempiere	GET	read-only-after-session-bootstrap	AD_Session	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Route reads application state; only session bootstrap may write.
/adempiere::WLocation::/WLocation	/adempiere	GET	read-only-after-session-bootstrap	AD_Session	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Route reads application state; only session bootstrap may write.
/adempiere::WLogin::/WLogin	/adempiere	GET	session-bootstrap-owned	AD_Session,AD_Preference	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Login and role selection own only the reviewed session/preferences delta.
/adempiere::WLookup::/WLookup	/adempiere	GET	read-only-after-session-bootstrap	AD_Session	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Route reads application state; only session bootstrap may write.
/adempiere::WMenu::/WMenu	/adempiere	GET	read-only-after-session-bootstrap	AD_Session	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Route reads application state; only session bootstrap may write.
/adempiere::WProcess::/WProcess	/adempiere	GET	method-specific-fixture-required	AD_Session,AD_Preference,business-table-owned-by-route	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	GET probe permits no new business write; mutating methods require a named fixture delta.
/adempiere::WReport::/WReport	/adempiere	GET	read-only-after-session-bootstrap	AD_Session	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Route reads application state; only session bootstrap may write.
/adempiere::WRequest::/WRequest	/adempiere	GET	method-specific-fixture-required	AD_Session,AD_Preference,business-table-owned-by-route	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	GET probe permits no new business write; mutating methods require a named fixture delta.
/adempiere::WStart::/WStart	/adempiere	GET	read-only-after-session-bootstrap	AD_Session	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Route reads application state; only session bootstrap may write.
/adempiere::WStatus::/WStatus	/adempiere	GET	read-only-after-session-bootstrap	AD_Session	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Route reads application state; only session bootstrap may write.
/adempiere::WTask::/WTask	/adempiere	GET	method-specific-fixture-required	AD_Session,AD_Preference,business-table-owned-by-route	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	GET probe permits no new business write; mutating methods require a named fixture delta.
/adempiere::WValuePreference::/WValuePreference	/adempiere	GET	method-specific-fixture-required	AD_Session,AD_Preference,business-table-owned-by-route	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	GET probe permits no new business write; mutating methods require a named fixture delta.
/adempiere::WWindow::/WWindow	/adempiere	GET	read-only-after-session-bootstrap	AD_Session	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Route reads application state; only session bootstrap may write.
/adempiere::WWorkflow::/WWorkflow	/adempiere	GET	method-specific-fixture-required	AD_Session,AD_Preference,business-table-owned-by-route	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	GET probe permits no new business write; mutating methods require a named fixture delta.
/adempiere::WZoom::/WZoom	/adempiere	GET	read-only-after-session-bootstrap	AD_Session	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Route reads application state; only session bootstrap may write.
/admin::AdempiereMonitor::/adempiereMonitor/*	/admin	GET	read-only	application-dictionary	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Status and monitor reads.
/admin::AdempiereMonitorFilter::/adempiereMonitor/*	/admin	GET	read-only	application-dictionary	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Status and monitor reads.
/admin::JnlpDownloadServlet::*.jnlp	/admin	GET	no-write	none	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Artifact delivery.
/admin::StatusInfo::/statusInfo	/admin	GET	read-only	application-dictionary	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Status and monitor reads.
/mobile::DisplayChart::/DisplayChart	/mobile	GET	read-only-after-session-bootstrap	AD_Session	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Route reads application state; only session bootstrap may write.
/mobile::LoginDynUpdate::/LoginDynUpdate	/mobile	GET	session-bootstrap-owned	AD_Session,AD_Preference	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Login and role selection own only the reviewed session/preferences delta.
/mobile::WFieldUpdate::/WFieldUpdate	/mobile	GET	read-only-after-session-bootstrap	AD_Session	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Route reads application state; only session bootstrap may write.
/mobile::WFilter::/*	/mobile	GET	read-only-after-session-bootstrap	AD_Session	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Route reads application state; only session bootstrap may write.
/mobile::WFindAdv::/WFindAdv	/mobile	GET	read-only-after-session-bootstrap	AD_Session	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Route reads application state; only session bootstrap may write.
/mobile::WHelp::/WHelp	/mobile	GET	read-only-after-session-bootstrap	AD_Session	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Route reads application state; only session bootstrap may write.
/mobile::WLocation::/WLocation	/mobile	GET	read-only-after-session-bootstrap	AD_Session	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Route reads application state; only session bootstrap may write.
/mobile::WLogin::/WLogin	/mobile	GET	session-bootstrap-owned	AD_Session,AD_Preference	fail	marker-owned-reset-before-each-shard	contract-only-runtime-observation-pending	Login and role selection own only the reviewed session/preferences delta.
