route_id	context	policy_id	phase5f_rule	deviation_id	enable_state_id	closing_gate
/::AdRedirector::/AdRedirector	/	POLICY-P5F-ROOT	migrate-context-wide	DEV-P5F-ERR-01	ENABLE-P5F-ROOT	phase5fJakartaWebRoutesSmoke
/::Broadcast::/	/	POLICY-P5F-ROOT	migrate-context-wide	none	ENABLE-P5F-ROOT	phase5fJakartaWebRoutesSmoke
/::CacheService::/cache/*	/	POLICY-P5F-ROOT	migrate-context-wide	none	ENABLE-P5F-ROOT	phase5fJakartaWebRoutesSmoke
/::Community::/communityServlet	/	POLICY-P5F-ROOT	migrate-context-wide	DEV-P5F-ERR-02	ENABLE-P5F-ROOT	phase5fJakartaWebRoutesSmoke
/::MediaBroadcast::/media/*	/	POLICY-P5F-ROOT	migrate-context-wide	none	ENABLE-P5F-ROOT	phase5fJakartaWebRoutesSmoke
/::RequestServlet::/requestServlet	/	POLICY-P5F-ROOT	migrate-context-wide	none	ENABLE-P5F-ROOT	phase5fJakartaWebRoutesSmoke
/::StageBroadcast::/stage/*	/	POLICY-P5F-ROOT	migrate-context-wide	none	ENABLE-P5F-ROOT	phase5fJakartaWebRoutesSmoke
/::XMLBroadcast::/xml/*	/	POLICY-P5F-ROOT	migrate-context-wide	DEV-P5F-ERR-03	ENABLE-P5F-ROOT	phase5fJakartaWebRoutesSmoke
/adempiere::WAccount::/WAccount	/adempiere	POLICY-P5F-ADEMPIERE	migrate-context-wide	none	ENABLE-P5F-ADEMPIERE	phase5fJakartaWebRoutesSmoke
/adempiere::WAttachment::/WAttachment	/adempiere	POLICY-P5F-ADEMPIERE	migrate-context-wide	none	ENABLE-P5F-ADEMPIERE	phase5fJakartaWebRoutesSmoke
/adempiere::WChat::/WChat	/adempiere	POLICY-P5F-ADEMPIERE	migrate-context-wide	none	ENABLE-P5F-ADEMPIERE	phase5fJakartaWebRoutesSmoke
/adempiere::WFieldUpdate::/WFieldUpdate	/adempiere	POLICY-P5F-ADEMPIERE	migrate-context-wide	none	ENABLE-P5F-ADEMPIERE	phase5fJakartaWebRoutesSmoke
/adempiere::WFilter::/*	/adempiere	POLICY-P5F-ADEMPIERE	migrate-context-wide	none	ENABLE-P5F-ADEMPIERE	phase5fJakartaWebRoutesSmoke
