# Phase 5b served static-asset contract
# sampling_rule	min-sha512-per-war-extension-v1
# sampling_seed	none (content-addressed selection is deterministic)
# sample_per_group	2
# candidate_entries	1574
# sampled_entries	59
# sampled_groups	34
#
# body normalization: the literal capture host:port is replaced by
# <ORACLE-HOST-PORT> before content_length and served_sha512 are
# computed, so the contract replays on any host and port. This is a
# no-op for genuinely static entries.
# disposition values:
#   served-exact                 response body digest equals the packaged WAR entry digest
#   shadowed-by-catch-all-servlet the context answers every path from one handler, so the
#                                packaged entry is never served; frozen as a negative fact
#   served-differs               reachable but the body differs from the packaged entry
#                                (server-side templating); frozen for change detection
# war	served_path	http_status	content_type	charset	content_length	packaged_size	packaged_sha512	served_sha512	disposition
adempiere.war	/adempiere/css/mktree.css	200	text/html	none	1205	1182	5767952c7677120c3489cf80fc53d04fcfc77ec055ed13fd2fee65bbd251cdf14fc45057b7a877b654e7998364606afa378ed73f3494964461a51d38a47df440	e274091ecd2db152679e46f792e12dcefe3d62b9294751ce9ca2de070128b8ab90d8248f351c38df6ce8ccfbf6b3c7384f5cd72e9a2b35eb96707ce9a3095e05	shadowed-by-catch-all-servlet
adempiere.war	/adempiere/css/popup.css	200	text/html	none	1205	690	609ff4088aff8e33c9d667c57f89c8a1dd5fe43dec78b63d2ae791a9ce76e821f30e7f25a5e456d4dd7f40cdf355c50e27503417f68c8fa68d3676b42e4eabc9	e274091ecd2db152679e46f792e12dcefe3d62b9294751ce9ca2de070128b8ab90d8248f351c38df6ce8ccfbf6b3c7384f5cd72e9a2b35eb96707ce9a3095e05	shadowed-by-catch-all-servlet
adempiere.war	/adempiere/images/Favorite16.gif	200	text/html	none	1205	220	00060226b92026138057bb50c94b0aae5e9905d17422cc41d8eae0af2b14aadcfa44ed581e6f47f3162b50a1cd2e200fcef71db3d4e79f6ddbf22285a24dd865	e274091ecd2db152679e46f792e12dcefe3d62b9294751ce9ca2de070128b8ab90d8248f351c38df6ce8ccfbf6b3c7384f5cd72e9a2b35eb96707ce9a3095e05	shadowed-by-catch-all-servlet
adempiere.war	/adempiere/images/WorkFlow16.gif	200	text/html	none	1205	363	002b3f4f9769fccc2edfadcb46724ca4425487aedae0439d4a266edd5c046d706ef9b29cf02946edc99cb01320f76c51eb127ccbe5c8c7fe97517d0c2c556fbc	e274091ecd2db152679e46f792e12dcefe3d62b9294751ce9ca2de070128b8ab90d8248f351c38df6ce8ccfbf6b3c7384f5cd72e9a2b35eb96707ce9a3095e05	shadowed-by-catch-all-servlet
adempiere.war	/adempiere/window.html	200	text/html	none	1147	1147	01f8e955f00e0c7552f99175df1db48174bc05886b669876dca7d8f40a088e9ad8b481ac104d7383e9e77c70f574bb76522dd1d41276b2858312f5a29a814e00	01f8e955f00e0c7552f99175df1db48174bc05886b669876dca7d8f40a088e9ad8b481ac104d7383e9e77c70f574bb76522dd1d41276b2858312f5a29a814e00	served-exact
adempiere.war	/adempiere/calendar.html	200	text/html	none	1205	6745	29713551a07465c8f095bfaeb62725d9bebec26e70a50d139fb7330b5d5fd85f195dd46ceeabc7adc2c587dd9453baf9d5d14340adeb687b82a006463f24cdef	e274091ecd2db152679e46f792e12dcefe3d62b9294751ce9ca2de070128b8ab90d8248f351c38df6ce8ccfbf6b3c7384f5cd72e9a2b35eb96707ce9a3095e05	shadowed-by-catch-all-servlet
adempiere.war	/adempiere/images/Compiere.jpg	200	text/html	none	1205	1056	827bb065840ccdd1b7e3055c531b1f46e6b689b4fac27979b3facb00d596448e5abab76b86efeb38cad92c31a6d7bbee107420836fd9eab573de30d0c4a3f5a3	e274091ecd2db152679e46f792e12dcefe3d62b9294751ce9ca2de070128b8ab90d8248f351c38df6ce8ccfbf6b3c7384f5cd72e9a2b35eb96707ce9a3095e05	shadowed-by-catch-all-servlet
adempiere.war	/adempiere/images/AdemPiereCom.jpg	200	text/html	none	1205	1285	a0b477abed077b53040895a97d6402cb8696df63313f760809e01dfeb5d0b401d79d639af735543e6a8c13c9bde9a88b0d90d14f94ed2c035a2687f6c5b05db9	e274091ecd2db152679e46f792e12dcefe3d62b9294751ce9ca2de070128b8ab90d8248f351c38df6ce8ccfbf6b3c7384f5cd72e9a2b35eb96707ce9a3095e05	shadowed-by-catch-all-servlet
adempiere.war	/adempiere/js/calendar.js	200	text/javascript	none	51042	51042	208eb3f9a0336bcc07166c8aedbf7a51157786757085fe0f3d37a007bc5df834d4b75538cd15c1e335c161fd49d7396a49011bae830aaf2254b623a5368e1347	208eb3f9a0336bcc07166c8aedbf7a51157786757085fe0f3d37a007bc5df834d4b75538cd15c1e335c161fd49d7396a49011bae830aaf2254b623a5368e1347	served-exact
adempiere.war	/adempiere/js/menu.js	200	text/javascript	none	3717	3717	502f25436736c714aa7e91da5569c568727356107816dc928757c2b94200d48fc2089cfa82a750f09669ef343a7449606c700e356ff09f85d2a72604c4b1c618	502f25436736c714aa7e91da5569c568727356107816dc928757c2b94200d48fc2089cfa82a750f09669ef343a7449606c700e356ff09f85d2a72604c4b1c618	served-exact
