context	route_id	method	path	http_status	content_type	charset	location_header	proof_strength	body_digest
/	/::AdRedirector::/AdRedirector	GET	/AdRedirector	500	text/html	utf-8	none	exact-servlet-dispatch	d99f21c61f439d891a8503d8902a63b1a1a99c7842d7acf0a267d80360e3d96b
/	/::Broadcast::/	GET	/	302		none	http://127.0.0.1:8888/admin/	exact-servlet-dispatch	01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
/	/::CacheService::/cache/*	GET	/cache/	200		none	none	exact-servlet-dispatch	3511bec53068d607e2604c85d82765474cb7bb4e5f45c3c76962f8effbc8308f
/	/::Community::/communityServlet	GET	/communityServlet	500	text/html	utf-8	none	exact-servlet-dispatch	866df01da5d7ce6d4dd31abb38e8b09b1024f24284d55a742caeff7272d83d56
/	/::MediaBroadcast::/media/*	GET	/media/	302		none	http://127.0.0.1:8888/admin/	exact-servlet-dispatch	01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
/	/::RequestServlet::/requestServlet	GET	/requestServlet	302		none	/nullnull	exact-servlet-dispatch	01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
/	/::StageBroadcast::/stage/*	GET	/stage/	302		none	http://127.0.0.1:8888/admin/	exact-servlet-dispatch	01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b
/	/::XMLBroadcast::/xml/*	GET	/xml/	500	text/html	utf-8	none	exact-servlet-dispatch	b150451b7549e7ab35347dd8ea216c7be086c1e601620dfae0b3e3cb84e4d0c8
/adempiere	/adempiere::WAccount::/WAccount	GET	/adempiere/WAccount	200	text/html	none	none	exact-servlet-dispatch	5db53054171724bda66600695ad6589e6297f9ab413e5da2fbae041ed154e750
/adempiere	/adempiere::WAttachment::/WAttachment	GET	/adempiere/WAttachment	200	text/html	none	none	exact-servlet-dispatch	5db53054171724bda66600695ad6589e6297f9ab413e5da2fbae041ed154e750
/adempiere	/adempiere::WChat::/WChat	GET	/adempiere/WChat	200	text/html	none	none	exact-servlet-dispatch	5db53054171724bda66600695ad6589e6297f9ab413e5da2fbae041ed154e750
/adempiere	/adempiere::WFieldUpdate::/WFieldUpdate	GET	/adempiere/WFieldUpdate	200	text/html	none	none	exact-servlet-dispatch	5db53054171724bda66600695ad6589e6297f9ab413e5da2fbae041ed154e750
/adempiere	/adempiere::WFilter::/*	GET	/adempiere/	200	text/html	none	none	context-reachability-only	5db53054171724bda66600695ad6589e6297f9ab413e5da2fbae041ed154e750
/adempiere	/adempiere::WFindAdv::/WFindAdv	GET	/adempiere/WFindAdv	200	text/html	none	none	exact-servlet-dispatch	5db53054171724bda66600695ad6589e6297f9ab413e5da2fbae041ed154e750
/adempiere	/adempiere::WHelp::/WHelp	GET	/adempiere/WHelp	200	text/html	none	none	exact-servlet-dispatch	5db53054171724bda66600695ad6589e6297f9ab413e5da2fbae041ed154e750
/adempiere	/adempiere::WLocation::/WLocation	GET	/adempiere/WLocation	200	text/html	none	none	exact-servlet-dispatch	5db53054171724bda66600695ad6589e6297f9ab413e5da2fbae041ed154e750
/adempiere	/adempiere::WLogin::/WLogin	GET	/adempiere/WLogin	200	text/html	UTF-8	none	exact-servlet-dispatch	38b5803b31ddc89357751105e5982aed1fffdea35c8c821fe97d2316a3338348
/adempiere	/adempiere::WLookup::/WLookup	GET	/adempiere/WLookup	200	text/html	none	none	exact-servlet-dispatch	5db53054171724bda66600695ad6589e6297f9ab413e5da2fbae041ed154e750
/adempiere	/adempiere::WMenu::/WMenu	GET	/adempiere/WMenu	200	text/html	none	none	exact-servlet-dispatch	5db53054171724bda66600695ad6589e6297f9ab413e5da2fbae041ed154e750
/adempiere	/adempiere::WProcess::/WProcess	GET	/adempiere/WProcess	200	text/html	none	none	exact-servlet-dispatch	5db53054171724bda66600695ad6589e6297f9ab413e5da2fbae041ed154e750
/adempiere	/adempiere::WReport::/WReport	GET	/adempiere/WReport	200	text/html	none	none	exact-servlet-dispatch	5db53054171724bda66600695ad6589e6297f9ab413e5da2fbae041ed154e750
/adempiere	/adempiere::WRequest::/WRequest	GET	/adempiere/WRequest	200	text/html	none	none	exact-servlet-dispatch	5db53054171724bda66600695ad6589e6297f9ab413e5da2fbae041ed154e750
/adempiere	/adempiere::WStart::/WStart	GET	/adempiere/WStart	200	text/html	none	none	exact-servlet-dispatch	5db53054171724bda66600695ad6589e6297f9ab413e5da2fbae041ed154e750
/adempiere	/adempiere::WStatus::/WStatus	GET	/adempiere/WStatus	200	text/html	none	none	exact-servlet-dispatch	5db53054171724bda66600695ad6589e6297f9ab413e5da2fbae041ed154e750
/adempiere	/adempiere::WTask::/WTask	GET	/adempiere/WTask	200	text/html	none	none	exact-servlet-dispatch	5db53054171724bda66600695ad6589e6297f9ab413e5da2fbae041ed154e750
/adempiere	/adempiere::WValuePreference::/WValuePreference	GET	/adempiere/WValuePreference	200	text/html	none	none	exact-servlet-dispatch	5db53054171724bda66600695ad6589e6297f9ab413e5da2fbae041ed154e750
/adempiere	/adempiere::WWindow::/WWindow	GET	/adempiere/WWindow	200	text/html	none	none	exact-servlet-dispatch	5db53054171724bda66600695ad6589e6297f9ab413e5da2fbae041ed154e750
